Model,Accuracy,Macro_F1,Weighted_F1
Speech,0.8871428571428571,0.879695132986636,0.8796951329866362
Text,0.1428571428571428,0.0357142857142857,0.0357142857142857
Fusion,0.9814285714285714,0.9813305372673666,0.9813305372673664
