,precision,recall,f1-score,support
0,0.0,0.0,0.0,400.0
1,0.0,0.0,0.0,400.0
2,0.0,0.0,0.0,400.0
3,0.0,0.0,0.0,400.0
4,0.14285714285714285,1.0,0.25,400.0
5,0.0,0.0,0.0,400.0
6,0.0,0.0,0.0,400.0
accuracy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
macro avg,0.02040816326530612,0.14285714285714285,0.03571428571428571,2800.0
weighted avg,0.02040816326530612,0.14285714285714285,0.03571428571428571,2800.0
